date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:26	4368/4368	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261d30be1-1110%22	https://www.mansurtl.com/templates/dream/js/main.js	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/js/main.js	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:26	3827/3827	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261f02882-ef3%22	https://www.mansurtl.com/templates/dream/js/pages/home/script.master.js	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/js/pages/home/script.master.js	(from https://www.mansurtl.com/templates/dream/index.html)
18:41:26	67048/67048	---M--	200	added ('OK')	application/octet-stream	etag:%225de02cd5-105e8%22	https://www.mansurtl.com/templates/dream/fonts/Inter/Inter-Thin.woff	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/fonts/Inter/Inter-Thin.woff	(from https://www.mansurtl.com/templates/dream/fonts/Inter/inter-fontfaces.css)
18:41:27	69488/69488	---M--	200	added ('OK')	application/octet-stream	etag:%225de02cde-10f70%22	https://www.mansurtl.com/templates/dream/fonts/Inter/Inter-Light.woff	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/fonts/Inter/Inter-Light.woff	(from https://www.mansurtl.com/templates/dream/fonts/Inter/inter-fontfaces.css)
18:41:27	67256/67256	---M--	200	added ('OK')	application/octet-stream	etag:%225de02cd7-106b8%22	https://www.mansurtl.com/templates/dream/fonts/Inter/Inter-Regular.woff	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/fonts/Inter/Inter-Regular.woff	(from https://www.mansurtl.com/templates/dream/fonts/Inter/inter-fontfaces.css)
18:41:27	70264/70264	---M--	200	added ('OK')	application/octet-stream	etag:%225de02cdd-11278%22	https://www.mansurtl.com/templates/dream/fonts/Inter/Inter-Medium.woff	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/fonts/Inter/Inter-Medium.woff	(from https://www.mansurtl.com/templates/dream/fonts/Inter/inter-fontfaces.css)
18:41:27	72060/72060	---M--	200	added ('OK')	application/octet-stream	etag:%225de02cdf-1197c%22	https://www.mansurtl.com/templates/dream/fonts/Inter/Inter-Semibold.woff	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/fonts/Inter/Inter-Semibold.woff	(from https://www.mansurtl.com/templates/dream/fonts/Inter/inter-fontfaces.css)
18:41:28	71860/71860	---M--	200	added ('OK')	application/octet-stream	etag:%225de02ce1-118b4%22	https://www.mansurtl.com/templates/dream/fonts/Inter/Inter-Bold.woff	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/fonts/Inter/Inter-Bold.woff	(from https://www.mansurtl.com/templates/dream/fonts/Inter/inter-fontfaces.css)
18:41:28	68888/68888	---M--	200	added ('OK')	application/octet-stream	etag:%225de02cd3-10d18%22	https://www.mansurtl.com/templates/dream/fonts/Inter/Inter-Super.woff	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/fonts/Inter/Inter-Super.woff	(from https://www.mansurtl.com/templates/dream/fonts/Inter/inter-fontfaces.css)
18:41:28	70072/70072	---M--	200	added ('OK')	application/octet-stream	etag:%225de02cd2-111b8%22	https://www.mansurtl.com/templates/dream/fonts/Inter/Inter-Black.woff	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/fonts/Inter/Inter-Black.woff	(from https://www.mansurtl.com/templates/dream/fonts/Inter/inter-fontfaces.css)
18:41:30	91645/91645	---M--	200	added ('OK')	image/jpeg	etag:%2261ceb166-165fd%22	https://www.mansurtl.com/templates/dream/images/dist/blog/wide/img-1-1320x420.jpg	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/blog/wide/img-1-1320x420.jpg	(from https://www.mansurtl.com/templates/dream/blog.html)
18:41:30	9681/9681	---M--	200	added ('OK')	image/jpeg	etag:%22617e8010-25d1%22	https://www.mansurtl.com/templates/dream/images/dist/avatars/user-2.jpg	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/avatars/user-2.jpg	(from https://www.mansurtl.com/templates/dream/blog.html)
18:41:30	31937/31937	---M--	200	added ('OK')	image/jpeg	etag:%2261cec30f-7cc1%22	https://www.mansurtl.com/templates/dream/images/dist/blog/wide/img-2-1320x420.jpg	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/blog/wide/img-2-1320x420.jpg	(from https://www.mansurtl.com/templates/dream/blog.html)
18:41:30	4337/4337	---M--	200	added ('OK')	image/jpeg	etag:%2261cec3c6-10f1%22	https://www.mansurtl.com/templates/dream/images/dist/avatars/user-3.jpg	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/avatars/user-3.jpg	(from https://www.mansurtl.com/templates/dream/blog.html)
18:41:30	37861/37861	---M--	200	added ('OK')	image/jpeg	etag:%2261cec456-93e5%22	https://www.mansurtl.com/templates/dream/images/dist/blog/wide/img-3-1320x420.jpg	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/blog/wide/img-3-1320x420.jpg	(from https://www.mansurtl.com/templates/dream/blog.html)
18:41:31	4124/4124	---M--	200	added ('OK')	image/jpeg	etag:%2261cec49a-101c%22	https://www.mansurtl.com/templates/dream/images/dist/avatars/user-4.jpg	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/avatars/user-4.jpg	(from https://www.mansurtl.com/templates/dream/blog.html)
18:41:31	61654/61654	---M--	200	added ('OK')	image/jpeg	etag:%2261cdcca8-f0d6%22	https://www.mansurtl.com/templates/dream/images/dist/blog/grid/img-1-1024x520.jpg	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/blog/grid/img-1-1024x520.jpg	(from https://www.mansurtl.com/templates/dream/blog.html)
18:41:32	51661/51661	---M--	200	added ('OK')	image/jpeg	etag:%2261cdcdda-c9cd%22	https://www.mansurtl.com/templates/dream/images/dist/blog/grid/img-2-1024x520.jpg	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/blog/grid/img-2-1024x520.jpg	(from https://www.mansurtl.com/templates/dream/blog.html)
18:41:32	3481/3481	---M--	200	added ('OK')	image/jpeg	etag:%2261614382-d99%22	https://www.mansurtl.com/templates/dream/images/dist/avatars/user-1.jpg	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/avatars/user-1.jpg	(from https://www.mansurtl.com/templates/dream/blog.html)
18:41:32	90688/90688	---M--	200	added ('OK')	image/jpeg	etag:%2261cdd3dc-16240%22	https://www.mansurtl.com/templates/dream/images/dist/blog/grid/img-5-1024x520.jpg	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/blog/grid/img-5-1024x520.jpg	(from https://www.mansurtl.com/templates/dream/blog.html)
18:41:32	39761/39761	---M--	200	added ('OK')	image/jpeg	etag:%2261cdd538-9b51%22	https://www.mansurtl.com/templates/dream/images/dist/blog/grid/img-6-1024x520.jpg	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/blog/grid/img-6-1024x520.jpg	(from https://www.mansurtl.com/templates/dream/blog.html)
18:41:33	66758/66758	---M--	200	added ('OK')	image/jpeg	etag:%2261cdf63e-104c6%22	https://www.mansurtl.com/templates/dream/images/dist/blog/grid/img-7-1024x520.jpg	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/blog/grid/img-7-1024x520.jpg	(from https://www.mansurtl.com/templates/dream/blog.html)
18:41:33	71062/71062	---M--	200	added ('OK')	image/jpeg	etag:%2261cdd289-11596%22	https://www.mansurtl.com/templates/dream/images/dist/blog/grid/img-3-1024x520.jpg	C:/My%20Web%20Sites/POUR%20CA/www.mansurtl.com/templates/dream/images/dist/blog/grid/img-3-1024x520.jpg	(from https://www.mansurtl.com/templates/dream/blog.html)
